Name,Tags
Sea-Urchin Slice Ice Cream,Valkoria
Salted Valkorian Mackerel,Valkoria
Witch’s Shroom Pottage,"Valkoria, Witche's End"
Buzzing Velvet Wine,Valkoria
Voidquila,Tenebrium
Ravana’s Sourdough Pretzels,Valkoria
Equuinox filet mignon,Valkoria
Coco Shaved Ice,Valkoria
Poke,Fellintra
Shark Steak,"Fellintra, Onakii's Domain"
Griffin Gravy,Fellintra
Goblo Grog,Cerulia
Starlight Clementines,Fellintra
Corpinellus Titanicus,Fellintra
Dragonfire Ramen,Yamagato
Zedranian Coffee,Zedrana
Shocktopus Stew,The Dragon Lands
"Lava Lizard Egg, Steak and Bacon",The Dragon Lands
Gelato di Fazzari,"Bellmark's Landing, Valkoria"
Pedro’s Pizza,"Bellmark's Landing, Valkoria"
Prosecco,"Queendom of Nya'Tallin, Valkoria"
Volcanic Black Lagoon Tea,"Black Lagoon, The Dragon Lands"
Slippery Sling,Bellmark's Landing
Ordona’s Black Olive Oil Focaccia,"Ordona, Palantine Empire, Valkoria"
Ordona’s Stone Lager,Ordona
Brand’s Bjorr Laks (Beer Battered Fish),Ordona
Flameblade Leaves,"City States of Valkoria, Gohondar's Fall"
Lilly Worm Porridge,"Fellintra, Mistvale"
Azujav,"Fellintra, Mistvale"
Bat Berries,"Fellintra, Mistvale"
Rocknuts,Fellintra
Valebex Steak,"Fellintra, Mistvale"
Beholder’s Eye Ball,"Cerulia, Dwarven"
