Name,Tags
Archmagi of Lycia,Lycia
Blackfist Clan,Cerulia
Blades of Benevolence,Runaria
Blood Coin Creed,Universal
Bone Collectors,Universal
Cartwright Mining Company,Cerulia
Children of Leven,Ark of Leven
Church of the Twelve,"Fellintra, Universal"
Coffer of Equity,Universal
Copper Rats,Palantine Empire
Ebon Syndicate,Palantine Empire
Elluvarden's Extraordinary Enchanting Emporium,Universal
Emberguard,"Cerulia, Emberdeep"
"Fangs, The",Emberdeep
Hangetsu Clan,Yamagato
House Goldleaf,"Queendom of Nya'Tallin, Valkoria"
House Kirkwood,Queendom of Nya'Tallin
House Mavis,Queendom of Nya'Tallin
House Stonecutter,Queendom of Nya'Tallin
House Timbercroft,Queendom of Nya'Tallin
House Wildfeather,Queendom of Nya'Tallin
Igarashi Clan,Yamagato
Ironstone Consortium,"Cerulia, Fellintra"
Jade Dragoons,Dragon Lands
Karoq Urkhaz aka Deathbringers,Shadowlands
Knight Orders of the Twelve,Universal
Luminals,"Fellintra, Runaria"
Midnight Note,Universal
Mist Reavers,"Fellintra, Mistvale"
Mistvale Covenants,"Fellintra, Mistvale"
Morningtide Sails,"Runaria, Valkoria, Valkorian City-States"
Onakei,"Belt of Water, Fellintra"
Order of the Ascended,
Order of the Faithsworn,Universal
Order of the Justiciars,Universal
Order of the Wayfarers,Universal
Pilgrims of the Everlight,"Church of the Twelve, Solas"
Quills of Ios,Universal
Radical Dreamers,Queendom of Nya'Tallin
Saints,Universal
Seers of the Black Lagoon,Dragon Lands
Silver Eagles,"Universal, Valkorian City-States"
Spin To Win,Universal
Spinners,Kas'Velar
The Hoard,Universal
Kazanami Clan,Yamagato
