Name,Title/Alias/Rank,Tags,Relations,Age,Birth Year,Death Year,Race/Species,Family/Guild/Organisation,Home
"Adam, Vermillion Emperor",Vermillion Emperor,Aezatan,"Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.csv) Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.csv) Ajax (Ajax%20e80cc5051c3f401bb0c84a59d5083fdb.csv) ",15548,-12333,,"Aezatan (Aezatan%203da707b77610408784cd1bdfc44fe23f.csv) ",,Aezatan Dynasty (Former)
Agape Brightsky,Headmistress of the Academiae,Stellaria,"Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.csv) ",68,3147,,"Pale Elf (Pale%20Elf%20f2b604f694fe4bd2a9e78480a2b535e0.csv) ",,"Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.csv) "
Ahan Forgegrog,-,"Ebon Syndicate, Ordona","Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.csv) ",63,3150,3213,"Dwarf (Dwarf%207b5851a6b05341bcb4d77736f736b8f8.csv) ",,"Ordona (Ordona%2097fdf7ca0d2f4b10aa4b2958a480b0b7.csv) "
Ajax,Aezatan (Aezatan%203da707b77610408784cd1bdfc44fe23f.csv) Survivor,Aezatan,"Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.csv) Aezatan (Aezatan%203da707b77610408784cd1bdfc44fe23f.csv) ",13215,-10000,,"Aezatan (Aezatan%203da707b77610408784cd1bdfc44fe23f.csv) ",Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.csv) (not an official member),"Aezatan Dynasty (Former)
Valkoria"
Akihiro Suzuki,Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.csv) Raven,"Bellmark's Landing, Ebon Syndicate, Yamagato","Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.csv) ",36,3179,,"Human (Human%2011face1141c540a18f85f67c37bf395b.csv) ","Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.csv) ","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) Himoari (Himoari%20428d909dafc94e9d9293056ddd09ab51.csv) "
Alekos Lightseeker,Astromancer,"Quills of Ios, Stellaria","Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.csv) ",31,3184,,"Pale Elf (Pale%20Elf%20f2b604f694fe4bd2a9e78480a2b535e0.csv) ",,"Dawnsreach (Dawnsreach%20761cae0d1e6a43e2ae73a08f7d6fc2ce.csv) "
Anais Mournhold,Sister,Emberdeep,"Church of the Twelve (Church%20of%20the%20Twelve%20a51ac19679214ca0b7344cddc3961507.csv) Orena (Goddess of Life) (Orena%20(Goddess%20of%20Life)%20d7616042c4a141108b9983a9fb538984.csv) ",22,3193,,"Ashen Elf (Ashen%20Elf%20242958fba0aa4fbcb32c3ddfb19e4353.csv) ",,"Emberdeep (Emberdeep%20970b2a8371ba4facad9c16f1a552038e.csv) "
Annabella Mavis,Queen of the Queendom,"House Mavis, Queendom of Nya'Tallin","Queendom of Nya’Tallin (Queendom%20of%20Nya%E2%80%99Tallin%20cd93d0f7f358493288358dfc3baef5b6.csv) ",53,3162,,"Fellintran Elf (Fellintran%20Elf%20beccd90e1d7446078ec525d40007b5ca.csv) ","House Mavis (House%20Mavis%20328ee681854044d490cbd4510b8719f6.csv) ","Queendom of Nya’Tallin (Queendom%20of%20Nya%E2%80%99Tallin%20cd93d0f7f358493288358dfc3baef5b6.csv) Isyen Lenora (Isyen%20Lenora%2025a3a780df3043f187093c732b6f279d.csv) "
Astellios Lightseeker,,"Midnight Note, Quills of Ios, Stellaria","Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.csv) Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.csv) ",24,3191,,"Pale Elf (Pale%20Elf%20f2b604f694fe4bd2a9e78480a2b535e0.csv) ","Lighterseeker, Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.csv) Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.csv) ","Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.csv) "
Augusta Fenice,"Legatus of the Palantine Empire (Palantine%20Empire%20b5f0a5e7621b4b02862738a0582cfccd.csv), Dark Witch","Ordona, Palantine Empire, Valkoria","Palantine Empire (Palantine%20Empire%20b5f0a5e7621b4b02862738a0582cfccd.csv) ",43,3170,3213,"Human (Human%2011face1141c540a18f85f67c37bf395b.csv) ","Palantine Empire (Palantine%20Empire%20b5f0a5e7621b4b02862738a0582cfccd.csv) ","Messana (Messana%2000b27eb025b94f75b2abb90470caaafb.csv) "
