Name,Title/Alias/Rank,Tags,Relations,Age,Birth Year,Death Year,Family/Guild/Organisation,Home,Race/Species
Augusta Fenice,"Legatus of the Palantine Empire (Palantine%20Empire%20b5f0a5e7621b4b02862738a0582cfccd.md), Dark Witch","Ordona, Palantine Empire, Valkoria","Palantine Empire (Palantine%20Empire%20b5f0a5e7621b4b02862738a0582cfccd.md) ",43,3170,3213,"Palantine Empire (Palantine%20Empire%20b5f0a5e7621b4b02862738a0582cfccd.md) ","Messana (Messana%2000b27eb025b94f75b2abb90470caaafb.md) ","Human (Human%2011face1141c540a18f85f67c37bf395b.md) "
Draco Palantine,"Prince of the Palantine Empire (Palantine%20Empire%20b5f0a5e7621b4b02862738a0582cfccd.md), ","Ebon Syndicate, Palantine Empire, Valkoria","Palantine Empire (Palantine%20Empire%20b5f0a5e7621b4b02862738a0582cfccd.md) ",37,3176,3213,"Palantine Empire (Palantine%20Empire%20b5f0a5e7621b4b02862738a0582cfccd.md) ","Messana (Messana%2000b27eb025b94f75b2abb90470caaafb.md) ","Human (Human%2011face1141c540a18f85f67c37bf395b.md) "
Drago Sunstriker,Chancellor,Valkoria,"Valkoria (Valkoria%2063188c93864440e591a3528e50868ec6.md) ",26,2622,2648,Sunstriker Family,"Valkoria (Valkoria%2063188c93864440e591a3528e50868ec6.md) ","Human (Human%2011face1141c540a18f85f67c37bf395b.md) "
Gaius Septimus,"Ordo Legatus of the Empire, Wielder of the Palantine Sword.","Palantine Empire, Valkoria","Palantine Empire (Palantine%20Empire%20b5f0a5e7621b4b02862738a0582cfccd.md) ",55,3160,,"Palantine Empire (Palantine%20Empire%20b5f0a5e7621b4b02862738a0582cfccd.md) ","Messana (Messana%2000b27eb025b94f75b2abb90470caaafb.md) ","Fiendspawn (Fiendspawn%205223a6b6b6b94d348478ed8a35569169.md) Jotun (Jotun%20854ab2adba3d4ce09e6d2109bb4651e5.md) "
Karlatan Irontoe,Witch’s End (Witch%E2%80%99s%20End%2068ed9e9cc8924625ae221afa3ecc3747.md) Representative in the Valkorian City-States (Valkorian%20City-States%2094cc103e39aa4dc4a9e2e08376851195.md).,"Valkoria, Witch's End","Queendom of Nya’Tallin (Queendom%20of%20Nya%E2%80%99Tallin%20cd93d0f7f358493288358dfc3baef5b6.md) Valkorian City-States (Valkorian%20City-States%2094cc103e39aa4dc4a9e2e08376851195.md) ",48,3167,,,"Witch’s End (Witch%E2%80%99s%20End%2068ed9e9cc8924625ae221afa3ecc3747.md) ","Dromani (Dromani%20f986a15fa8414fabb6e5a666a20f4e74.md) "
Klerana Mavis,-,"Queendom of Nya'Tallin, Valkoria","Valkorian Sunstriker (Valkorian%20Sunstriker%20022238d5c0024e84a1aa88a05af19c06.md) Queendom of Nya’Tallin (Queendom%20of%20Nya%E2%80%99Tallin%20cd93d0f7f358493288358dfc3baef5b6.md) ",100,2380,2480,"House Mavis (House%20Mavis%20328ee681854044d490cbd4510b8719f6.md) ","Valkoria (Valkoria%2063188c93864440e591a3528e50868ec6.md) ","Fellintran Elf (Fellintran%20Elf%20beccd90e1d7446078ec525d40007b5ca.md) "
Milena Goldleaf,-,Valkoria,"Valkorian Sunstriker (Valkorian%20Sunstriker%20022238d5c0024e84a1aa88a05af19c06.md) ",43,2375,2418,,"Valkoria (Valkoria%2063188c93864440e591a3528e50868ec6.md) ","Human (Human%2011face1141c540a18f85f67c37bf395b.md) "
Rain Domarien,-,Valkoria,"Valkorian Sunstriker (Valkorian%20Sunstriker%20022238d5c0024e84a1aa88a05af19c06.md) ",95,2350,2445,,"Valkoria (Valkoria%2063188c93864440e591a3528e50868ec6.md) ","Gnome (Gnome%20ba19298cf2754c99a3cc46dc98eb5762.md) "
Ritter Stavanger,-,Valkoria,"Valkorian Sunstriker (Valkorian%20Sunstriker%20022238d5c0024e84a1aa88a05af19c06.md) ",78,2380,2458,,,"Orc (Orc%20cf277f33cd8a404c96c7975b92c26b0c.md) "
Silas Kirkwood,Bishop of Saint Shiva,"Queendom of Nya'Tallin, Valkoria, Valkorian City-States, Witch's End","House Kirkwood (House%20Kirkwood%200d32f8e480364cd3aa3913ef0d395895.md) Queendom of Nya’Tallin (Queendom%20of%20Nya%E2%80%99Tallin%20cd93d0f7f358493288358dfc3baef5b6.md) ",42,3173,,"House Kirkwood (House%20Kirkwood%200d32f8e480364cd3aa3913ef0d395895.md) ","Witch’s End (Witch%E2%80%99s%20End%2068ed9e9cc8924625ae221afa3ecc3747.md) ","Fellintran Elf (Fellintran%20Elf%20beccd90e1d7446078ec525d40007b5ca.md) "
Valkorian Sunstriker,"Chancellor, The Conqueror",Valkoria,"Valkoria (Valkoria%2063188c93864440e591a3528e50868ec6.md) ",110,2370,2480,Sunstriker Family,"Valkoria (Valkoria%2063188c93864440e591a3528e50868ec6.md) ","Human (Human%2011face1141c540a18f85f67c37bf395b.md) "
