Name,Title/Alias/Rank,Tags,Relations,Age,Birth Year,Death Year,Family/Guild/Organisation,Home,Race/Species
Akihiro Suzuki,Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.md) Raven,"Bellmark's Landing, Ebon Syndicate, Yamagato","Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.md) ",36,3179,,"Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.md) ","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.md) Himoari (Himoari%20428d909dafc94e9d9293056ddd09ab51.md) ","Human (Human%2011face1141c540a18f85f67c37bf395b.md) "
Aza Velarin,Copper Rat,"Bellmark's Landing, Copper Rats","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.md) Copper Rats (Copper%20Rats%2080dc3a7e773e4b7f97ceadc9f93ace8c.md) Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.md) Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.md) ",21,3192,3213,"Copper Rats (Copper%20Rats%2080dc3a7e773e4b7f97ceadc9f93ace8c.md) ","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.md) ","Human (Human%2011face1141c540a18f85f67c37bf395b.md) "
Belinda Lahari,Owner of the Sailor’s Rest,"Bellmark's Landing, Blood Coin Creed","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.md) ",34,3181,,"Blood Coin Creed (Blood%20Coin%20Creed%20a1e3f2b651b049cd88877892c939b8b1.md) ","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.md) ","Fiendspawn (Fiendspawn%205223a6b6b6b94d348478ed8a35569169.md) "
Boobo Darktusk,"Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.md) Nightcrawler, Erol Steelring.","Bellmark's Landing, Ebon Syndicate","Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.md) ",31,3184,,"Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.md) Silver Eagles (Silver%20Eagles%20eda02d5b743247b1996ab7388b532bb2.md) ","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.md) ","Orc (Orc%20cf277f33cd8a404c96c7975b92c26b0c.md) "
Boris Blackmantle,"Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.md) Shadowblade, Black Raven, Ebonmaster","Bellmark's Landing, Ebon Syndicate","Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.md) Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.md) ",53,3162,,"Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.md) ","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.md) ","Fellintran Elf (Fellintran%20Elf%20beccd90e1d7446078ec525d40007b5ca.md) "
Chester Igarashi,Midnight Note’s Construct Puppy,"Bellmark's Landing, Midnight Note, Quills of Ios","Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.md) Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.md) Shi-rai Igarashi (Shi-rai%20Igarashi%202b00fac466024354b0273317d2e43ca0.md) ",2,3213,,"Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.md) ","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.md) ","Forgeborn (Forgeborn%20bc063bad27a6430d94a7bda0638c9f4b.md) "
Flake of Snow,Explorer,"Bellmark's Landing, Frosthler, Quills of Ios","Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.md) Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.md) Frosthler (Frosthler%20ba76fbd9fc364c589d34fe791cfa6050.md) ",29,3186,,"Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.md) ","Kas’Velar (Kas%E2%80%99Velar%20476c9e227f2443eca550f0ab8be45af5.md) Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.md) Bhadir (Bhadir%20eecd93006c3f41b2823d389bf90cf286.md) ","Beastkin (Beastkin%209d4322a60f6c4f839ef527a292b33535.md) "
Florina De Fonseca,Disgraced Praetor of Bellmark’s Landing,"Bellmark's Landing, Palantine Empire","Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.md) ",78,3135,3213,De Fonseca Winemakers,"Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.md) ","Human (Human%2011face1141c540a18f85f67c37bf395b.md) "
Iorek Needlefingers,"Shadowblade of the Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.md) ","Bellmark's Landing, Ebon Syndicate","Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.md) ",60,3155,,"Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.md) ","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.md) ","Goblin (Goblin%20a2f5ebad3a484c4dae5d5b0d12cdd746.md) "
"Jack Campanella ",Little Bell,"Bellmark's Landing, Copper Rats","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.md) Copper Rats (Copper%20Rats%2080dc3a7e773e4b7f97ceadc9f93ace8c.md) Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.md) ",30,3185,,"Copper Rats (Copper%20Rats%2080dc3a7e773e4b7f97ceadc9f93ace8c.md) ","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.md) ","Human (Human%2011face1141c540a18f85f67c37bf395b.md) "
