Name,Title/Alias/Rank,Tags,Relations,Age,Birth Year,Death Year,Family/Guild/Organisation,Home,Race/Species
Augusta Fenice,"Legatus of the Palantine Empire (Palantine%20Empire%20b5f0a5e7621b4b02862738a0582cfccd.csv), Dark Witch","Ordona, Palantine Empire, Valkoria","Palantine Empire (Palantine%20Empire%20b5f0a5e7621b4b02862738a0582cfccd.csv) ",43,3170,3213,"Palantine Empire (Palantine%20Empire%20b5f0a5e7621b4b02862738a0582cfccd.csv) ","Messana (Messana%2000b27eb025b94f75b2abb90470caaafb.csv) ","Human (Human%2011face1141c540a18f85f67c37bf395b.csv) "
Draco Palantine,"Prince of the Palantine Empire (Palantine%20Empire%20b5f0a5e7621b4b02862738a0582cfccd.csv), ","Ebon Syndicate, Palantine Empire, Valkoria","Palantine Empire (Palantine%20Empire%20b5f0a5e7621b4b02862738a0582cfccd.csv) ",37,3176,3213,"Palantine Empire (Palantine%20Empire%20b5f0a5e7621b4b02862738a0582cfccd.csv) ","Messana (Messana%2000b27eb025b94f75b2abb90470caaafb.csv) ","Human (Human%2011face1141c540a18f85f67c37bf395b.csv) "
Drago Sunstriker,Chancellor,Valkoria,"Valkoria (Valkoria%2063188c93864440e591a3528e50868ec6.csv) ",26,2622,2648,Sunstriker Family,"Valkoria (Valkoria%2063188c93864440e591a3528e50868ec6.csv) ","Human (Human%2011face1141c540a18f85f67c37bf395b.csv) "
Gaius Septimus,"Ordo Legatus of the Empire, Wielder of the Palantine Sword.","Palantine Empire, Valkoria","Palantine Empire (Palantine%20Empire%20b5f0a5e7621b4b02862738a0582cfccd.csv) ",55,3160,,"Palantine Empire (Palantine%20Empire%20b5f0a5e7621b4b02862738a0582cfccd.csv) ","Messana (Messana%2000b27eb025b94f75b2abb90470caaafb.csv) ","Fiendspawn (Fiendspawn%205223a6b6b6b94d348478ed8a35569169.csv) Jotun (Jotun%20854ab2adba3d4ce09e6d2109bb4651e5.csv) "
Karlatan Irontoe,Witch’s End (Witch%E2%80%99s%20End%2068ed9e9cc8924625ae221afa3ecc3747.csv) Representative in the Valkorian City-States (Valkorian%20City-States%2094cc103e39aa4dc4a9e2e08376851195.csv).,"Valkoria, Witch's End","Queendom of Nya’Tallin (Queendom%20of%20Nya%E2%80%99Tallin%20cd93d0f7f358493288358dfc3baef5b6.csv) Valkorian City-States (Valkorian%20City-States%2094cc103e39aa4dc4a9e2e08376851195.csv) ",48,3167,,,"Witch’s End (Witch%E2%80%99s%20End%2068ed9e9cc8924625ae221afa3ecc3747.csv) ","Dromani (Dromani%20f986a15fa8414fabb6e5a666a20f4e74.csv) "
Klerana Mavis,-,"Queendom of Nya'Tallin, Valkoria","Valkorian Sunstriker (Valkorian%20Sunstriker%20022238d5c0024e84a1aa88a05af19c06.csv) Queendom of Nya’Tallin (Queendom%20of%20Nya%E2%80%99Tallin%20cd93d0f7f358493288358dfc3baef5b6.csv) ",100,2380,2480,"House Mavis (House%20Mavis%20328ee681854044d490cbd4510b8719f6.csv) ","Valkoria (Valkoria%2063188c93864440e591a3528e50868ec6.csv) ","Fellintran Elf (Fellintran%20Elf%20beccd90e1d7446078ec525d40007b5ca.csv) "
Milena Goldleaf,-,Valkoria,"Valkorian Sunstriker (Valkorian%20Sunstriker%20022238d5c0024e84a1aa88a05af19c06.csv) ",43,2375,2418,,"Valkoria (Valkoria%2063188c93864440e591a3528e50868ec6.csv) ","Human (Human%2011face1141c540a18f85f67c37bf395b.csv) "
Rain Domarien,-,Valkoria,"Valkorian Sunstriker (Valkorian%20Sunstriker%20022238d5c0024e84a1aa88a05af19c06.csv) ",95,2350,2445,,"Valkoria (Valkoria%2063188c93864440e591a3528e50868ec6.csv) ","Gnome (Gnome%20ba19298cf2754c99a3cc46dc98eb5762.csv) "
Ritter Stavanger,-,Valkoria,"Valkorian Sunstriker (Valkorian%20Sunstriker%20022238d5c0024e84a1aa88a05af19c06.csv) ",78,2380,2458,,,"Orc (Orc%20cf277f33cd8a404c96c7975b92c26b0c.csv) "
Silas Kirkwood,Bishop of Saint Shiva,"Queendom of Nya'Tallin, Valkoria, Valkorian City-States, Witch's End","House Kirkwood (House%20Kirkwood%200d32f8e480364cd3aa3913ef0d395895.csv) Queendom of Nya’Tallin (Queendom%20of%20Nya%E2%80%99Tallin%20cd93d0f7f358493288358dfc3baef5b6.csv) ",42,3173,,"House Kirkwood (House%20Kirkwood%200d32f8e480364cd3aa3913ef0d395895.csv) ","Witch’s End (Witch%E2%80%99s%20End%2068ed9e9cc8924625ae221afa3ecc3747.csv) ","Fellintran Elf (Fellintran%20Elf%20beccd90e1d7446078ec525d40007b5ca.csv) "
Valkorian Sunstriker,"Chancellor, The Conqueror",Valkoria,"Valkoria (Valkoria%2063188c93864440e591a3528e50868ec6.csv) ",110,2370,2480,Sunstriker Family,"Valkoria (Valkoria%2063188c93864440e591a3528e50868ec6.csv) ","Human (Human%2011face1141c540a18f85f67c37bf395b.csv) "
