Name,Title/Alias/Rank,Tags,Relations,Age,Birth Year,Death Year,Family/Guild/Organisation,Home,Race/Species
Anais Mournhold,Sister,Emberdeep,"Church of the Twelve (Church%20of%20the%20Twelve%20a51ac19679214ca0b7344cddc3961507.md) Orena (Goddess of Life) (Orena%20(Goddess%20of%20Life)%20d7616042c4a141108b9983a9fb538984.md) ",22,3193,,,"Emberdeep (Emberdeep%20970b2a8371ba4facad9c16f1a552038e.md) ","Ashen Elf (Ashen%20Elf%20242958fba0aa4fbcb32c3ddfb19e4353.md) "
Crothar Copperson,Housecarl,Emberdeep,"Knight Orders of the Twelve (Knight%20Orders%20of%20the%20Twelve%2018475a22781a801ea757c2c341485727.md) ",17,3198,,"Knight Orders of the Twelve (Knight%20Orders%20of%20the%20Twelve%2018475a22781a801ea757c2c341485727.md) ","Emberdeep (Emberdeep%20970b2a8371ba4facad9c16f1a552038e.md) ","Dromani (Dromani%20f986a15fa8414fabb6e5a666a20f4e74.md) "
Derelia Myrlandis,"Knight Commander of Emberdeep (Emberdeep%20970b2a8371ba4facad9c16f1a552038e.md) ",Emberdeep,"Order of the Wayfarers (Order%20of%20the%20Wayfarers%2018475a22781a8094bee8e623d138c885.md) Knight Orders of the Twelve (Knight%20Orders%20of%20the%20Twelve%2018475a22781a801ea757c2c341485727.md) ",55,3160,,"Knight Orders of the Twelve (Knight%20Orders%20of%20the%20Twelve%2018475a22781a801ea757c2c341485727.md) ","Emberdeep (Emberdeep%20970b2a8371ba4facad9c16f1a552038e.md) Forge of Faith (Forge%20of%20Faith%2018675a22781a8021b3d3e79ecb0cbffe.md) ","Ashen Elf (Ashen%20Elf%20242958fba0aa4fbcb32c3ddfb19e4353.md) "
Gangin Ironhammer,Ember Warden,Emberdeep,"Emberguard (Emberguard%2018275a22781a806cb27adda3a65bbad1.md) ",44,3171,,"Emberguard (Emberguard%2018275a22781a806cb27adda3a65bbad1.md) ","Emberdeep (Emberdeep%20970b2a8371ba4facad9c16f1a552038e.md) ","Dwarf (Dwarf%207b5851a6b05341bcb4d77736f736b8f8.md) "
Ganrad Thundercliff,"Knight Chaplain, Ganard",Emberdeep,"Knight Orders of the Twelve (Knight%20Orders%20of%20the%20Twelve%2018475a22781a801ea757c2c341485727.md) ",59,3156,,"Church of the Twelve (Church%20of%20the%20Twelve%20a51ac19679214ca0b7344cddc3961507.md) ","Emberdeep (Emberdeep%20970b2a8371ba4facad9c16f1a552038e.md) ","Dromani (Dromani%20f986a15fa8414fabb6e5a666a20f4e74.md) "
Gerda Tinbuckle,Old Gerda,Emberdeep,,62,3153,,"Lost and Found Antiques (Lost%20and%20Found%20Antiques%2018675a22781a80fc8beac1631da5bfc0.md) Candlelight Shelter (Candlelight%20Shelter%2018675a22781a80eaafede158d368710c.md) ","Emberdeep (Emberdeep%20970b2a8371ba4facad9c16f1a552038e.md) ","Dwarf (Dwarf%207b5851a6b05341bcb4d77736f736b8f8.md) "
Grimshtod Bing,"Barkeep at the Civic Knuckle (Civic%20Knuckle%2020775a22781a80a9a738e49abe196f63.md) ",Emberdeep,"Emberdeep (Emberdeep%20970b2a8371ba4facad9c16f1a552038e.md) ",37,3178,,,"Emberdeep (Emberdeep%20970b2a8371ba4facad9c16f1a552038e.md) ","Dromani (Dromani%20f986a15fa8414fabb6e5a666a20f4e74.md) "
Gugnir Brimsteel ‘The Emberlord’,The Emberlord,Emberdeep,"Emberdeep (Emberdeep%20970b2a8371ba4facad9c16f1a552038e.md) ",50,3165,,Brimsteel Royal Family,"Emberdeep (Emberdeep%20970b2a8371ba4facad9c16f1a552038e.md) ","Dwarf (Dwarf%207b5851a6b05341bcb4d77736f736b8f8.md) "
Kelemar Ashbringer,"Father Kelemar, Gravekeeper","Church of the Twelve, Emberdeep","Graav (God of Death) (Graav%20(God%20of%20Death)%20d63b83eee74f4e1c9db355255ee1a0a0.md) ",40,3175,,"Church of the Twelve (Church%20of%20the%20Twelve%20a51ac19679214ca0b7344cddc3961507.md) ","Emberdeep (Emberdeep%20970b2a8371ba4facad9c16f1a552038e.md) ","Dwarf (Dwarf%207b5851a6b05341bcb4d77736f736b8f8.md) "
OHI4234 ‘Rune’,Runesmith,Emberdeep,"Ravana’s Aegis (Ravana%E2%80%99s%20Aegis%2020775a22781a8016a59ccf559e09ee83.md) ",30,3185,,"Ironstone Consortium (Ironstone%20Consortium%2011275a22781a80be90e7ce7c409785fd.md) ","Howlcrest (Howlcrest%20332eac8a6dc1479da57f61a0b0f6b116.md) ","Forgeborn (Forgeborn%20bc063bad27a6430d94a7bda0638c9f4b.md) "
Saint Solera,Saint Solera the Luminary,Emberdeep,"Lumerium (Plane of Light) (Lumerium%20(Plane%20of%20Light)%207f2da552496c45d5b544d82df911103f.md) Elysium (Elysium%2018775a22781a8038a554e710a122a3ff.md) Emberdeep (Emberdeep%20970b2a8371ba4facad9c16f1a552038e.md) Church of the Twelve (Church%20of%20the%20Twelve%20a51ac19679214ca0b7344cddc3961507.md) ",60,2654,2714,"Church of the Twelve (Church%20of%20the%20Twelve%20a51ac19679214ca0b7344cddc3961507.md) ","Emberdeep (Emberdeep%20970b2a8371ba4facad9c16f1a552038e.md) ","Celestial (Celestial%20efe1f151703d415396ce9ab2939af69f.md) "
