Name,Title/Alias/Rank,Tags,Relations,Age,Birth Year,Death Year,Family/Guild/Organisation,Home,Race/Species
Agape Brightsky,Headmistress of the Academiae,Stellaria,"Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.md) ",68,3147,,,"Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.md) ","Pale Elf (Pale%20Elf%20f2b604f694fe4bd2a9e78480a2b535e0.md) "
Alekos Lightseeker,Astromancer,"Quills of Ios, Stellaria","Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.md) ",31,3184,,,"Dawnsreach (Dawnsreach%20761cae0d1e6a43e2ae73a08f7d6fc2ce.md) ","Pale Elf (Pale%20Elf%20f2b604f694fe4bd2a9e78480a2b535e0.md) "
Astellios Lightseeker,,"Midnight Note, Quills of Ios, Stellaria","Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.md) Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.md) ",24,3191,,"Lighterseeker, Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.md) Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.md) ","Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.md) ","Pale Elf (Pale%20Elf%20f2b604f694fe4bd2a9e78480a2b535e0.md) "
Calliope Lightseeker,Stellarian Ambassador in Lycia,"Dawnsreach, Stellaria","Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.md) Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.md) ",53,3162,,Lightseeker,"Dawnsreach (Dawnsreach%20761cae0d1e6a43e2ae73a08f7d6fc2ce.md) ","Pale Elf (Pale%20Elf%20f2b604f694fe4bd2a9e78480a2b535e0.md) "
Clovis Vocula,Scholar,Stellaria,"Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.md) ",59,3156,,,"Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.md) ","Human (Human%2011face1141c540a18f85f67c37bf395b.md) "
Elunara Starcaller,High Astromancer,Stellaria,"Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.md) ",87,3128,,,"Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.md) ","Pale Elf (Pale%20Elf%20f2b604f694fe4bd2a9e78480a2b535e0.md) "
Melanos Starcaller,Chief Chronicler,Stellaria,"Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.md) ",83,3132,,,"Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.md) ","Pale Elf (Pale%20Elf%20f2b604f694fe4bd2a9e78480a2b535e0.md) "
Olcinia Fulviana,"Scholar of Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.md) ","Argentcourt, Stellaria","Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.md) ",50,3165,,,"Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.md) ","Fellintran Elf (Fellintran%20Elf%20beccd90e1d7446078ec525d40007b5ca.md) "
Stefanos Lightseeker,Astromancer,"Quills of Ios, Stellaria","Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.md) ",63,3152,,Lightseeker," Dawnsreach (Dawnsreach%20761cae0d1e6a43e2ae73a08f7d6fc2ce.md) ","Pale Elf (Pale%20Elf%20f2b604f694fe4bd2a9e78480a2b535e0.md) "
Tatiana Starcaller,Librarian,Stellaria,"Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.md) ",33,3182,,Starcaller,"Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.md) ","Pale Elf (Pale%20Elf%20f2b604f694fe4bd2a9e78480a2b535e0.md) "
Vasilios Starcaller,Professor,Stellaria,"Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.md) ",43,3172,,Starcaller,"Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.md) ","Pale Elf (Pale%20Elf%20f2b604f694fe4bd2a9e78480a2b535e0.md) "
Yorgos Darktwilight,"Engineer of Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.md) ",Stellaria,"Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.md) ",48,3167,,,"Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.md) ","Pale Elf (Pale%20Elf%20f2b604f694fe4bd2a9e78480a2b535e0.md) "
