Name,Title/Alias/Rank,Tags,Relations,Age,Birth Year,Death Year,Family/Guild/Organisation,Home,Race/Species
Ajax,Aezatan (Aezatan%203da707b77610408784cd1bdfc44fe23f.md) Survivor,Aezatan,"Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.md) Aezatan (Aezatan%203da707b77610408784cd1bdfc44fe23f.md) ",13215,-10000,,Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.md) (not an official member),"Aezatan Dynasty (Former)
Valkoria","Aezatan (Aezatan%203da707b77610408784cd1bdfc44fe23f.md) "
Astellios Lightseeker,,"Midnight Note, Quills of Ios, Stellaria","Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.md) Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.md) ",24,3191,,"Lighterseeker, Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.md) Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.md) ","Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.md) ","Pale Elf (Pale%20Elf%20f2b604f694fe4bd2a9e78480a2b535e0.md) "
Avnon Songheart,-,"Caershire, Midnight Note, Quills of Ios","Caershire (Caershire%2036d5df387f5c40279e7840966f055daa.md) Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.md) ",25,3190,,"Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.md) Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.md) ","Caershire (Caershire%2036d5df387f5c40279e7840966f055daa.md) ","Fiendspawn (Fiendspawn%205223a6b6b6b94d348478ed8a35569169.md) "
Brand,,"Frosthler, Midnight Note, Quills of Ios, Spinners","Frosthler (Frosthler%20ba76fbd9fc364c589d34fe791cfa6050.md) Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.md) ",27,3188,,"Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.md) Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.md) Spinners (Spinners%201d3ca363d0f54ce2bdc9a2e6ae214654.md) ","Frosthler (Frosthler%20ba76fbd9fc364c589d34fe791cfa6050.md) ","Human (Human%2011face1141c540a18f85f67c37bf395b.md) "
Chester Igarashi,Midnight Note’s Construct Puppy,"Bellmark's Landing, Midnight Note, Quills of Ios","Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.md) Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.md) Shi-rai Igarashi (Shi-rai%20Igarashi%202b00fac466024354b0273317d2e43ca0.md) ",2,3213,,"Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.md) ","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.md) ","Forgeborn (Forgeborn%20bc063bad27a6430d94a7bda0638c9f4b.md) "
Dimi Dee,Arcanist,Quills of Ios,"Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.md) ",35,3180,,"Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.md) ","Holy City of Lancewood (Holy%20City%20of%20Lancewood%204021f6651edd4e4aba71cb199a8f984c.md) ","Sylfkin (Sylfkin%2011f75a22781a80169aa7f3cc74aa5ac0.md) "
Flake of Snow,Explorer,"Bellmark's Landing, Frosthler, Quills of Ios","Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.md) Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.md) Frosthler (Frosthler%20ba76fbd9fc364c589d34fe791cfa6050.md) ",29,3186,,"Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.md) ","Kas’Velar (Kas%E2%80%99Velar%20476c9e227f2443eca550f0ab8be45af5.md) Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.md) Bhadir (Bhadir%20eecd93006c3f41b2823d389bf90cf286.md) ","Beastkin (Beastkin%209d4322a60f6c4f839ef527a292b33535.md) "
Jared Rolo,Cartographer,"Bellmark's Landing, Dawnsreach, Quills of Ios","Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.md) Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.md) ",33,3182,,"Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.md) ","Dawnsreach (Dawnsreach%20761cae0d1e6a43e2ae73a08f7d6fc2ce.md) ","Human (Human%2011face1141c540a18f85f67c37bf395b.md) "
Martell Martin,"Flare, The Pyromancer of Bellmark’s Landing",Queendom of Nya'Tallin,"Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.md) Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.md) ",35,3180,,"Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.md) ","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.md) Argentcourt (Argentcourt%20b41a9e66f343460486a277b32660228c.md) ","Elementian (Elementian%208e75da99a0c04701a3154f15663d11f8.md) Human (Human%2011face1141c540a18f85f67c37bf395b.md) "
Mildred Kylee,"Arcanist of the Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.md), Mildey",Quills of Ios,"Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.md) ",63,3152,,"Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.md) ","Pandemonium (Plane of Chaos) (Pandemonium%20(Plane%20of%20Chaos)%20375249c38c0c4dc39d6cd24993a3eb35.md) ","Fairy (Fairy%20b1efd6fec06c4ea49830b03850611a97.md) "
